Player,Predicted_FP
Luke Musgrave,11.5
D'Wayne Eskridge,7.4
Xavier Gipson,8.4
J.J. Taylor,6.4
Cody White,6.4
Malachi Corley,5.2
Ben Sims,8.2
Xavier Smith,6.2
Tim Jones,7.1
Trey Lance,4.1
Terrace Marshall Jr.,7.1
Matthew Stafford,-7.9
Connor Heyward,16.0
MyCole Pruitt,16.0
Austin Trammell,4.0
Davis Allen,9.9
Tucker Fisk,10.9
Jacob Kibodi,4.9
Johnny Wilson,14.8
Dan Chisena,6.7
Tip Reiman,9.7
Laviska Shenault Jr.,4.7
Gerald Everett,11.6
Quintin Morris,14.6
Desmond Ridder,-2.4
Treylon Burks,7.5
Britain Covey,10.4
Andy Dalton,-0.6
Divine Deablo,4.4
Travis Homer,6.4
Terrell Jennings,3.3
Tommy DeVito,3.2
Jermar Jefferson,4.2
Jase McClellan,3.2
Rasheen Ali,3.1
Alex Bachman,6.1
DJ Chark,13.1
Parris Campbell,15.0
Dalvin Cook,4.0
Chris Manhertz,12.0
Aidan O'Connell,5.0
Allen Robinson,6.0
Will Mallory,6.9
Greg Dulcich,7.8
Cam Grandy,7.8
Scott Matlock,6.8
Ben Sinnott,13.8
David Bell,5.7
Deven Thompkins,6.7
Joe Flacco,-5.4
Joshua Dobbs,10.4
Anthony Gould,3.3
Marcus Jones,-0.7
Blake Watson,3.3
Ronnie Bell,4.2
Jake Haener,2.2
Patrick Ricard,11.2
Jamari Thrash,5.2
Jonathan Ward,2.2
Shane Zylstra,3.2
Ashtyn Davis,2.1
Dallin Holker,5.1
James Proche,3.1
Devontez Walker,9.1
Jaheim Bell,4.0
Taylor Heinicke,2.0
Velus Jones Jr.,0.9
Velus Jones Jr.,0.9
Velus Jones Jr.,-0.0
MarShawn Lloyd,2.8
Cooper Rush,-16.2
Kristian Wilkerson,9.8
Chris Blair,2.7
Mason Kinsey,3.7
Aaron Shampklin,1.7
Tanner Conner,4.6
Anthony Miller,2.6
Joe Milton,5.6
Trenton Irwin,4.5
Kenny Pickett,5.5
Josiah Deguara,4.4
Casey Washington,2.4
Tyrod Taylor,-0.7
Javon Baker,2.2
Feleipe Franks,2.2
Isaiah Hodgins,3.2
Grant Dubose,3.1
Matthew Hayball,1.1
Kameron Johnson,1.1
Tyreik McAllister,1.1
Davis Mills,1.1
Michael Penix,3.1
Trent Taylor,2.1
Dane Belton,1.0
Myles Gaskin,2.0
Jack Stoll,3.0
Tim Boyle,0.9
Tim Boyle,1.0
Tim Boyle,-0.1
George Holani,1.9
Brandon Johnson,1.9
Kendric Pryor,1.9
Cody Schrader,1.9
Dan Skipper,7.9
Eric Tomlinson,2.9
Tristan Wirfs,-1.1
Chris Collier,1.8
Tyrion Davis-Price,0.7
Reggie Gilliam,0.7
E.J. Jenkins,7.7
Brevin Jordan,2.7
Ramel Keyton,1.7
John Samuel Shenker,1.7
Geoff Swaim,1.7
Ian Thomas,3.7
Jared Wiley,1.7
Jaelon Darden,1.6
Collin Johnson,1.6
David Martin-Robinson,1.6
John Ross,1.6
Isaiah Williams,2.6
Mike Caliendo,1.5
Robbie Chosen,1.5
Zach Davidson,1.5
Ross Dwelley,1.5
Jody Fortson,1.5
Jimmy Garoppolo,0.5
Charlie Jones,-2.5
Chris Oladokun,-1.5
Tyler Scott,1.5
Jarrett Stidham,0.5
Brandon Allen,-3.6
Vederian Lowe,7.4
Juanyeh Thomas,1.4
Skylar Thompson,-3.6
Ke'Shawn Vaughn,0.4
Darrynton Evans,0.3
Jha'Quan Jackson,-8.7
Jake Brendel,-1.8
British Brooks,0.2
John FitzPatrick,1.2
Hendon Hooker,0.2
Sam Howell,0.2
Sam Hubbard,7.2
Joshua Kelley,0.2
Marcedes Lewis,1.2
Julian Love,0.2
Dell Pettus,0.2
Bailey Zappe,0.2
Jaden Hicks,0.1
Josh Johnson,0.1
Wanya Morris,7.1
Jalen Reeves-Maybin,0.1
Trenton Scott,7.1
Mitchell Trubisky,-1.9
Jake Bailey,-2.0
Brenden Bates,-0.0
Andrew Beck,-0.0
Andrew Beck,-0.0
Andrew Beck,-0.0
Braxton Berrios,-0.0
Irvin Charles,-0.0
Kirk Cousins,-26.0
Baylor Cupp,-0.0
Taylor Decker,-0.0
Erik Ezukanma,-0.0
Sam Franklin,-0.0
C.J. Goodwin,-0.0
Tom Kennedy,-0.0
JC Latham,1.0
Dylan Laube,-2.0
Jordan Matthews,-0.0
Skyy Moore,-0.0
James Pierre,-0.0
Adam Prentice,-0.0
Justyn Ross,-0.0
JK Scott,-2.0
Steven Sims,-4.0
Tyler Smith,1.0
Stephen Sullivan,-0.0
Ben VanSumeren,1.0
Xavier Weaver,-0.0
Carson Wentz,-0.0
Brayden Willis,-0.0
Dareke Young,-0.0
Jermaine Jackson,-0.1
Tanner McKee,-0.1
Jake Browning,-0.2
Zach Frazier,-2.2
Nick Mullens,-0.2
Tavierre Thomas,-0.2
Brycen Tremayne,0.8
Dominick Puni,-0.3
Kadarius Toney,-2.4
Kyle Trask,-0.4
Clayton Tune,-2.4
Tyson Bagent,-0.7
