Player,Age,Team,Pos,G,GS,Att,Yds,TD,Rec,Tgt,Y/R,Touch,YScm,RRTD,Fmb,FP
Amari Cooper,30,BUF,WR,12.846153846153847,11.76923076923077,1.0,4.923076923076923,0.0,58.30769230769231,13.676923076923078,94.23076923076923,59.30769230769231,813.7692307692307,5.3076923076923075,0.7692307692307693,169.99230769230766
Amari Cooper,30,BUF,WR,12.846153846153847,11.76923076923077,1.0,4.923076923076923,0.0,58.30769230769231,13.676923076923078,94.23076923076923,59.30769230769231,813.7692307692307,5.3076923076923075,0.7692307692307693,169.99230769230766
Marvin Mims,22,DEN,WR,17.0,2.0,13.0,42.0,0.0,39.0,12.9,52.0,52.0,545.0,6.0,1.0,127.5
Elijah Moore,24,CLE,WR,16.666666666666668,11.333333333333334,5.0,5.666666666666667,0.0,52.333333333333336,10.566666666666666,90.33333333333333,57.333333333333336,547.0,1.3333333333333333,1.0,113.03333333333333
Josh Allen,28,BUF,QB,16.5,16.5,111.66666666666667,3.1666666666666665,0.3333333333333333,0.16666666666666666,12.0,0.16666666666666666,111.83333333333333,588.3333333333334,9.833333333333334,9.333333333333334,99.33333333333333
Tyjae Spears,23,TEN,RB,12.0,1.0,84.0,224.0,1.0,30.0,7.5,35.0,114.0,536.0,5.0,1.0,111.6
Dalton Schultz,28,HOU,TE,16.0,10.833333333333334,0.0,0.0,0.0,51.833333333333336,9.516666666666667,76.16666666666667,51.833333333333336,528.8333333333334,4.0,0.5,127.71666666666667
Allen Lazard,29,NYJ,WR,13.666666666666666,10.333333333333334,1.3333333333333333,11.666666666666666,0.0,38.0,13.499999999999998,61.166666666666664,39.333333333333336,523.3333333333334,4.5,0.0,117.33333333333334
Olamide Zaccheaus,27,WAS,WR,15.8,6.0,1.0,3.4,0.0,29.2,13.539999999999997,46.0,30.2,380.0,2.4,0.8,80.0
KaVontae Turpin,28,DAL,WR,16.5,1.0,13.5,101.0,0.5,21.5,12.05,35.0,35.0,374.5,3.0,2.0,72.95
Cam Akers,25,MIN,RB,8.0,1.875,65.125,50.375,0.75,8.25,5.6000000000000005,10.125,73.375,301.75,2.625,0.5,53.175
Cam Akers,25,MIN,RB,8.0,1.875,65.125,50.375,0.75,8.25,5.6000000000000005,10.125,73.375,301.75,2.625,0.5,53.175
Cam Akers,25,MIN,RB,8.0,1.875,65.125,50.375,0.75,8.25,5.6000000000000005,10.125,73.375,301.75,2.625,0.5,53.175
David Njoku,28,CLE,TE,12.857142857142858,10.285714285714286,0.42857142857142855,-1.0,0.0,45.57142857142857,10.514285714285716,68.57142857142857,46.0,482.2857142857143,3.7142857142857144,0.42857142857142855,115.22857142857143
Demarcus Robinson,30,LAR,WR,16.375,8.5,0.125,2.875,0.0,31.25,12.2875,50.625,31.375,379.5,3.375,0.75,87.95
Stefon Diggs,31,HOU,WR,14.555555555555555,14.11111111111111,3.5555555555555554,17.444444444444443,0.1111111111111111,89.44444444444444,12.322222222222221,128.66666666666666,93.0,1103.111111111111,7.444444444444445,0.8888888888888888,242.64444444444445
Noah Fant,27,SEA,TE,15.8,14.4,0.0,0.0,0.0,52.0,10.76,70.6,52.0,548.6,2.4,0.0,121.26000000000002
Anthony Richardson,22,IND,QB,11.0,11.0,86.0,-1.0,0.0,1.0,-1.0,1.0,87.0,498.0,6.0,9.0,68.80000000000001
Ty Johnson,27,BUF,RB,12.285714285714286,1.0,38.57142857142857,143.42857142857142,1.1428571428571428,14.714285714285714,9.216666666666667,21.857142857142858,53.285714285714285,322.14285714285717,2.0,0.42857142857142855,58.07142857142858
Nick Westbrook-Ikhine,27,TEN,WR,16.0,9.5,0.0,0.0,0.0,30.75,14.274999999999999,53.0,30.75,435.0,4.75,0.25,102.25
Dallas Goedert,29,PHI,TE,12.833333333333334,11.333333333333334,0.16666666666666666,0.16666666666666666,0.0,52.666666666666664,11.883333333333333,72.0,52.833333333333336,625.3333333333334,3.3333333333333335,1.0,133.2
Chigoziem Okonkwo,25,TEN,TE,17.0,11.0,1.5,11.5,0.0,53.0,9.5,73.5,54.5,515.0,1.5,1.0,111.5
Jake Ferguson,25,DAL,TE,15.5,15.0,0.0,0.0,0.0,65.0,9.55,94.0,65.0,627.5,2.5,2.0,138.75
Will Dissly,28,LAC,TE,13.833333333333334,11.5,0.16666666666666666,1.1666666666666667,0.0,28.166666666666668,10.483333333333334,34.333333333333336,28.333333333333332,292.1666666666667,2.1666666666666665,0.3333333333333333,69.71666666666667
Andrei Iosivas,25,CIN,WR,17.0,8.0,0.0,0.0,0.0,36.0,13.3,61.0,36.0,479.0,6.0,0.0,119.9
Isaiah Likely,24,BAL,TE,16.5,8.5,0.0,0.0,0.0,36.0,12.55,49.0,36.0,444.0,5.5,0.5,112.4
Austin Hooper,30,NWE,TE,15.625,9.125,0.0,0.0,0.0,48.75,9.9875,66.375,48.75,488.375,3.125,0.25,115.8375
Cole Kmet,25,CHI,TE,17.0,16.75,1.5,2.75,0.0,57.5,10.25,76.75,59.0,590.0,4.25,0.5,141.0
Taysom Hill,34,NOR,TE,14.285714285714286,7.0,62.42857142857143,134.71428571428572,1.5714285714285714,14.142857142857142,9.200000000000001,18.714285714285715,76.57142857142857,482.85714285714283,6.285714285714286,2.4285714285714284,95.28571428571428
T.J. Hockenson,27,MIN,TE,12.428571428571429,10.857142857142858,0.14285714285714285,0.0,0.0,62.285714285714285,10.87142857142857,90.28571428571429,62.42857142857143,649.8571428571429,3.857142857142857,0.5714285714285714,149.27142857142857
Noah Brown,28,WAS,WR,12.333333333333334,5.5,0.3333333333333333,0.5,0.0,24.333333333333332,12.716666666666667,40.333333333333336,24.666666666666668,328.3333333333333,1.0,0.16666666666666666,62.833333333333336
Tyler Conklin,29,NYJ,TE,16.333333333333332,10.166666666666666,0.6666666666666666,0.5,0.0,43.0,9.283333333333333,61.5,43.666666666666664,411.6666666666667,1.8333333333333333,0.6666666666666666,93.83333333333334
Dalton Kincaid,25,BUF,TE,13.0,9.0,0.0,0.0,0.0,44.0,10.2,75.0,44.0,448.0,2.0,1.0,98.80000000000001
Raheem Mostert,32,MIA,RB,7.571428571428571,2.7857142857142856,54.285714285714285,64.21428571428571,0.5714285714285714,7.928571428571429,8.15,10.357142857142858,62.214285714285715,335.42857142857144,3.0,0.9285714285714286,57.61428571428572
